,0,1,2
0,28.57,66.19,1.0
1,135.75,49.61,1.0
2,327.61,46.59,1.0
3,312.46,59.64,2.0
4,532.97,62.89,2.0
5,21.05,67.15,1.0
6,149.6,44.0,1.0
7,348.12,41.84,1.0
8,363.39,51.96,2.0
9,538.04,57.44,2.0
10,24.95,59.21,1.0
11,220.13,36.1,1.0
12,353.06,38.86,1.0
13,359.25,48.67,2.0
14,646.28,50.42,2.0
15,28.55,53.45,1.0
16,221.77,34.01,1.0
17,377.1,35.9,1.0
18,396.23,44.49,2.0
19,818.75,44.01,2.0
20,46.4,43.3,1.0
21,295.26,29.44,1.0
22,475.45,31.64,1.0
23,497.65,39.27,2.0
24,697.52,44.21,2.0
25,45.76,63.38,1.0
26,115.77,58.6,1.0
27,123.99,72.17,2.0
28,205.96,76.78,2.0
29,445.04,74.82,2.0
30,46.4,57.8,1.0
31,123.91,52.49,1.0
32,126.76,65.64,2.0
33,243.13,66.56,2.0
34,444.15,68.6,2.0
35,48.78,53.05,1.0
36,161.4,44.85,1.0
37,132.8,60.31,2.0
38,230.23,63.25,2.0
39,451.61,63.66,2.0
40,53.34,48.62,1.0
41,102.01,49.35,2.0
42,156.25,53.94,2.0
43,256.02,57.65,2.0
44,497.31,58.21,2.0
45,64.06,43.56,1.0
46,95.84,47.99,2.0
47,145.16,52.65,2.0
48,267.61,54.1,2.0
49,533.87,54.14,2.0
50,30.87,78.46,1.0
51,115.93,63.6,1.0
52,60.3,99.64,2.0
53,123.07,98.97,2.0
54,241.94,99.54,2.0
55,29.47,73.01,1.0
56,125.75,56.72,1.0
57,77.49,83.97,2.0
58,122.47,90.83,2.0
59,228.49,92.96,2.0
60,36.85,63.24,1.0
61,99.53,57.22,1.0
62,79.11,77.82,2.0
63,140.69,80.93,2.0
64,239.41,85.4,2.0
65,34.51,61.04,1.0
66,121.81,50.51,1.0
67,75.27,74.72,2.0
68,128.37,78.79,2.0
69,246.65,79.85,2.0
70,35.71,57.47,1.0
71,130.22,47.04,1.0
72,78.38,70.2,2.0
73,150.3,71.19,2.0
74,255.86,75.12,2.0
75,29.61,84.9,1.0
76,135.36,64.46,1.0
77,63.27,104.64,2.0
78,115.02,108.02,2.0
79,237.21,106.92,2.0
80,36.13,72.8,1.0
81,126.52,60.4,1.0
82,56.64,99.48,2.0
83,110.74,100.24,2.0
84,234.32,98.37,2.0
85,31.53,71.09,1.0
86,124.15,56.72,1.0
87,60.73,90.7,2.0
88,126.68,89.43,2.0
89,213.52,94.68,2.0
90,33.99,65.47,1.0
91,180.84,47.25,1.0
92,62.37,84.89,2.0
93,117.41,86.62,2.0
94,216.73,88.97,2.0
95,30.41,64.71,1.0
96,46.88,70.57,2.0
97,67.59,78.71,2.0
98,112.77,83.61,2.0
99,211.01,85.48,2.0
100,33.74,85.79,1.0
101,143.24,66.75,1.0
102,43.42,125.2,2.0
103,81.7,127.77,2.0
104,155.03,130.03,2.0
105,41.95,73.1,1.0
106,164.76,58.38,1.0
107,50.1,109.37,2.0
108,102.89,108.41,2.0
109,164.55,116.8,2.0
110,24.5,81.61,1.0
111,133.69,58.4,1.0
112,56.19,98.23,2.0
113,96.71,103.27,2.0
114,175.64,106.65,2.0
115,32.3,70.28,1.0
116,160.75,51.86,1.0
117,53.44,94.33,2.0
118,85.85,101.47,2.0
119,169.81,101.85,2.0
120,28.94,69.43,1.0
121,153.23,50.19,1.0
122,49.22,92.32,2.0
123,95.37,93.31,2.0
124,182.46,94.7,2.0
125,43.49,69.23,1.0
126,156.78,56.88,1.0
127,300.6,57.69,1.0
128,133.87,95.18,2.0
129,291.95,92.47,2.0
130,42.31,64.01,1.0
131,154.16,52.41,1.0
132,374.5,49.12,1.0
133,127.86,88.55,2.0
134,338.46,80.65,2.0
135,44.62,58.68,1.0
136,175.08,46.88,1.0
137,323.51,48.13,1.0
138,153.85,77.69,2.0
139,373.24,72.85,2.0
140,50.95,53.02,1.0
141,215.2,41.33,1.0
142,114.77,64.21,2.0
143,162.85,71.99,2.0
144,429.53,65.64,2.0
