,0,1,2,3,4,5,6,7
0,75.0,1.0,2.0,1.0,2.0,2.0,10.0,0.066096
1,75.0,1.0,2.0,1.0,2.0,2.0,10.0,0.132192
2,75.0,1.0,2.0,1.0,2.0,2.0,10.0,0.264384
3,75.0,1.0,2.0,1.0,2.0,2.0,10.0,0.528768
4,75.0,1.0,2.0,1.0,2.0,2.0,10.0,1.057536
5,75.0,1.0,2.0,1.0,2.0,2.0,13.0,0.066096
6,75.0,1.0,2.0,1.0,2.0,2.0,13.0,0.132192
7,75.0,1.0,2.0,1.0,2.0,2.0,13.0,0.264384
8,75.0,1.0,2.0,1.0,2.0,2.0,13.0,0.528768
9,75.0,1.0,2.0,1.0,2.0,2.0,13.0,1.057536
10,75.0,1.0,2.0,1.0,2.0,2.0,16.0,0.066096
11,75.0,1.0,2.0,1.0,2.0,2.0,16.0,0.132192
12,75.0,1.0,2.0,1.0,2.0,2.0,16.0,0.264384
13,75.0,1.0,2.0,1.0,2.0,2.0,16.0,0.528768
14,75.0,1.0,2.0,1.0,2.0,2.0,16.0,1.057536
15,75.0,1.0,2.0,1.0,2.0,2.0,19.0,0.066096
16,75.0,1.0,2.0,1.0,2.0,2.0,19.0,0.132192
17,75.0,1.0,2.0,1.0,2.0,2.0,19.0,0.264384
18,75.0,1.0,2.0,1.0,2.0,2.0,19.0,0.528768
19,75.0,1.0,2.0,1.0,2.0,2.0,19.0,1.057536
20,75.0,1.0,2.0,1.0,2.0,2.0,22.0,0.066096
21,75.0,1.0,2.0,1.0,2.0,2.0,22.0,0.132192
22,75.0,1.0,2.0,1.0,2.0,2.0,22.0,0.264384
23,75.0,1.0,2.0,1.0,2.0,2.0,22.0,0.528768
24,75.0,1.0,2.0,1.0,2.0,2.0,22.0,1.057536
25,75.0,1.5,3.0,1.5,2.5,2.5,10.0,0.066096
26,75.0,1.5,3.0,1.5,2.5,2.5,10.0,0.132192
27,75.0,1.5,3.0,1.5,2.5,2.5,10.0,0.264384
28,75.0,1.5,3.0,1.5,2.5,2.5,10.0,0.528768
29,75.0,1.5,3.0,1.5,2.5,2.5,10.0,1.057536
30,75.0,1.5,3.0,1.5,2.5,2.5,13.0,0.066096
31,75.0,1.5,3.0,1.5,2.5,2.5,13.0,0.132192
32,75.0,1.5,3.0,1.5,2.5,2.5,13.0,0.264384
33,75.0,1.5,3.0,1.5,2.5,2.5,13.0,0.528768
34,75.0,1.5,3.0,1.5,2.5,2.5,13.0,1.057536
35,75.0,1.5,3.0,1.5,2.5,2.5,16.0,0.066096
36,75.0,1.5,3.0,1.5,2.5,2.5,16.0,0.132192
37,75.0,1.5,3.0,1.5,2.5,2.5,16.0,0.264384
38,75.0,1.5,3.0,1.5,2.5,2.5,16.0,0.528768
39,75.0,1.5,3.0,1.5,2.5,2.5,16.0,1.057536
40,75.0,1.5,3.0,1.5,2.5,2.5,19.0,0.066096
41,75.0,1.5,3.0,1.5,2.5,2.5,19.0,0.132192
42,75.0,1.5,3.0,1.5,2.5,2.5,19.0,0.264384
43,75.0,1.5,3.0,1.5,2.5,2.5,19.0,0.528768
44,75.0,1.5,3.0,1.5,2.5,2.5,19.0,1.057536
45,75.0,1.5,3.0,1.5,2.5,2.5,22.0,0.066096
46,75.0,1.5,3.0,1.5,2.5,2.5,22.0,0.132192
47,75.0,1.5,3.0,1.5,2.5,2.5,22.0,0.264384
48,75.0,1.5,3.0,1.5,2.5,2.5,22.0,0.528768
49,75.0,1.5,3.0,1.5,2.5,2.5,22.0,1.057536
50,75.0,2.0,4.0,2.0,3.0,3.0,10.0,0.066096
51,75.0,2.0,4.0,2.0,3.0,3.0,10.0,0.132192
52,75.0,2.0,4.0,2.0,3.0,3.0,10.0,0.264384
53,75.0,2.0,4.0,2.0,3.0,3.0,10.0,0.528768
54,75.0,2.0,4.0,2.0,3.0,3.0,10.0,1.057536
55,75.0,2.0,4.0,2.0,3.0,3.0,13.0,0.066096
56,75.0,2.0,4.0,2.0,3.0,3.0,13.0,0.132192
57,75.0,2.0,4.0,2.0,3.0,3.0,13.0,0.264384
58,75.0,2.0,4.0,2.0,3.0,3.0,13.0,0.528768
59,75.0,2.0,4.0,2.0,3.0,3.0,13.0,1.057536
60,75.0,2.0,4.0,2.0,3.0,3.0,16.0,0.066096
61,75.0,2.0,4.0,2.0,3.0,3.0,16.0,0.132192
62,75.0,2.0,4.0,2.0,3.0,3.0,16.0,0.264384
63,75.0,2.0,4.0,2.0,3.0,3.0,16.0,0.528768
64,75.0,2.0,4.0,2.0,3.0,3.0,16.0,1.057536
65,75.0,2.0,4.0,2.0,3.0,3.0,19.0,0.066096
66,75.0,2.0,4.0,2.0,3.0,3.0,19.0,0.132192
67,75.0,2.0,4.0,2.0,3.0,3.0,19.0,0.264384
68,75.0,2.0,4.0,2.0,3.0,3.0,19.0,0.528768
69,75.0,2.0,4.0,2.0,3.0,3.0,19.0,1.057536
70,75.0,2.0,4.0,2.0,3.0,3.0,22.0,0.066096
71,75.0,2.0,4.0,2.0,3.0,3.0,22.0,0.132192
72,75.0,2.0,4.0,2.0,3.0,3.0,22.0,0.264384
73,75.0,2.0,4.0,2.0,3.0,3.0,22.0,0.528768
74,75.0,2.0,4.0,2.0,3.0,3.0,22.0,1.057536
75,75.0,2.5,5.0,2.5,3.5,3.5,10.0,0.066096
76,75.0,2.5,5.0,2.5,3.5,3.5,10.0,0.132192
77,75.0,2.5,5.0,2.5,3.5,3.5,10.0,0.264384
